x0000,y0000
0.,222511.
20.,223164.
40.,222857.
60.,221644.
80.,221423.
100.,220842.
120.,220327.
140.,219819.
160.,219046.
180.,218212.
200.,218380.
220.,217703.
240.,217314.
260.,217223.
280.,218739.
300.,217920.
320.,217864.
340.,218804.
360.,217594.
380.,219171.
400.,219320.
420.,218647.
440.,218928.
460.,219517.
480.,218862.
500.,219961.
520.,219171.
540.,219264.
560.,219975.
580.,220286.
600.,220786.
620.,220553.
640.,220922.
660.,221838.
680.,221428.
700.,221488.
720.,220693.
740.,222251.
760.,221102.
780.,221050.
800.,219829.
820.,219918.
840.,219782.
860.,219193.
880.,219226.
900.,218927.
920.,219073.
940.,218426.
960.,219134.
980.,218089.
1000.,218223.
1020.,217637.
1040.,219017.
1060.,218754.
1080.,219137.
1100.,218983.
1120.,218931.
1140.,219605.
1160.,219405.
1180.,219278.
1200.,220162.
1220.,220626.
1240.,220421.
1260.,221129.
1280.,221427.
1300.,220905.
1320.,221072.
1340.,221042.
1360.,221254.
1380.,221186.
1400.,221314.
1420.,221138.
1440.,220949.
1460.,220129.
1480.,219858.
1500.,220195.
1520.,219773.
1540.,219213.
1560.,218596.
1580.,218873.
1600.,218720.
1620.,218597.
1640.,218396.
1660.,218059.
1680.,218544.
1700.,217885.
1720.,218117.
1740.,218592.
1760.,218862.
1780.,218953.
1800.,219150.
1820.,219617.
1840.,219944.
1860.,218936.
1880.,219597.
1900.,220141.
1920.,220575.
1940.,220688.
1960.,220300.
1980.,220461.
2000.,220539.
2020.,220842.
2040.,221234.
2060.,220908.
2080.,220391.
2100.,221248.
2120.,220166.
2140.,219765.
2160.,220143.
2180.,219946.
2200.,219451.
2220.,219238.
2240.,219050.
2260.,219572.
2280.,218792.
2300.,218834.
2320.,218679.
2340.,218208.
2360.,219092.
2380.,218165.
2400.,217819.
2420.,219173.
2440.,218769.
2460.,219046.
2480.,219669.
2500.,219752.
2520.,219851.
2540.,219014.
2560.,220297.
2580.,220768.
2600.,220359.
2620.,220440.
2640.,221015.
2660.,220873.
2680.,220910.
2700.,220869.
2720.,221169.
2740.,221354.
2760.,220758.
2780.,220673.
2800.,220035.
2820.,220783.
2840.,220243.
2860.,219855.
2880.,219917.
2900.,220027.
2920.,219176.
2940.,218843.
2960.,219026.
2980.,219179.
3000.,217930.
3020.,218686.
3040.,218720.
3060.,219051.
3080.,218779.
3100.,219247.
3120.,219168.
3140.,219033.
3160.,219409.
3180.,219932.
3200.,219278.
3220.,219192.
3240.,219969.
3260.,220240.
3280.,220941.
3300.,220060.
3320.,220721.
3340.,221168.
3360.,220951.
3380.,220338.
3400.,221434.
3420.,220659.
3440.,220306.
3460.,220395.
3480.,219920.
3500.,220435.
3520.,219912.
3540.,219407.
3560.,219406.
3580.,219234.
3600.,219465.
3620.,219015.
3640.,219003.
3660.,218152.
3680.,218173.
3700.,218394.
3720.,218721.
3740.,218727.
3760.,218176.
3780.,218692.
3800.,218130.
3820.,218778.
3840.,219040.
3860.,219663.
3880.,219884.
3900.,220357.
3920.,219278.
3940.,220184.
3960.,219994.
3980.,220415.
4000.,220304.
